main_category,subcategory,product_id,title,product_url,price,old_price,reviews_count,rating,image_url,price_clean,old_price_clean,rating_clean,reviews_clean,price_category,has_discount,discount_percentage,discount_category
"Toys, Hobbies and Robots",RC Drones,1965975.0,ALZRC Devil X380 FBL 6CH 3D Flying Flybarless RC Helicopter KIT/PNP,https://www.banggood.com/ALZRC-Devil-X380-FBL-6CH-3D-Flying-Flybarless-RC-Helicopter-KIT-or-PNP-p-1965975.html?cur_warehouse=CN&ID=5228046287843&rmmds=CategoryToysPop&trace_id=9b521763848493734,US$252.00,US$264.00,9,4.89,https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/E1/84/0d550094-7232-4d86-87ce-4b8a4994656a.png.webp,252.0,264.0,4.89,9,Expensive ($100+),True,4.55,Small Discount (1-20%)
"Toys, Hobbies and Robots",RC Drones,1346684.0,Z51 Predator 660mm Wingspan 2.4G 2CH EPP DIY Glider Garden Flying RC Airplane Toy RTF Built-in Gyro,https://www.banggood.com/Z51-Predator-660mm-Wingspan-2_4G-2CH-EPP-DIY-Glider-Garden-Flying-RC-Airplane-Toy-RTF-Built-in-Gyro-p-1346684.html?cur_warehouse=CN&rmmds=CategoryToysPop&trace_id=9b521763848493734,US$36.99,US$68.39,392,4.89,https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/5D/93/8dc323fc-cb3a-4310-b283-f6563bb6d37b.jpg.webp,36.99,68.39,4.89,392,Standard ($25-50),True,45.91,Large Discount (41-60%)
"Toys, Hobbies and Robots",RC Drones,1473014.0,Sonicmodell Binary 1200mm Wingspan EPO Twin Motor Multirole Aerial Survey FPV Platform Mapping RC Airplane KIT,https://www.banggood.com/Sonicmodell-Binary-1200mm-Wingspan-EPO-Twin-Motor-Multirole-Aerial-Survey-FPV-Platform-Mapping-RC-Airplane-KIT-p-1473014.html?cur_warehouse=CN&rmmds=CategoryToysPop&trace_id=9b521763848493734,US$187.99,US$299.00,234,4.97,https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/08/0B/cded55f2-8d1c-478d-b899-33b7729f8448.jpg.webp,187.99,299.0,4.97,234,Expensive ($100+),True,37.13,Medium Discount (21-40%)
"Toys, Hobbies and Robots",RC Drones,1978949.0,Geprc Mark5 DC HD 225mm F7 6S 5 Inch Deadcat Freestyle FPV Racing Drone with 50A BL_32 ESC DJI O3 Air Unit Digital System,https://www.banggood.com/Geprc-Mark5-DC-HD-225mm-F7-6S-5-Inch-Deadcat-Freestyle-FPV-Racing-Drone-with-50A-BL_32-ESC-DJI-O3-Air-Unit-Digital-System-p-1978949.html?cur_warehouse=CN&ID=56746762878376311769&rmmds=CategoryToysPop&trace_id=9b521763848493734,US$589.99,US$614.99,7,4.43,https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/7E/EC/97aad087-54c9-4f46-af39-67ef7a757163.jpg.webp,589.99,614.99,4.43,7,Expensive ($100+),True,4.07,Small Discount (1-20%)
"Toys, Hobbies and Robots",RC Drones,1976955.0,DarwinFPV CineApe 25 112mm 4S Cinematic Whoop Analog/ AVATAR MINI HD 1504 3600KV Motor FPV Racing RC Drone PNP/BNF,https://www.banggood.com/DarwinFPV-CineApe-25-112mm-4S-Cinematic-Whoop-Analog-or-AVATAR-MINI-HD-1504-3600KV-Motor-FPV-Racing-RC-Drone-PNP-or-BNF-p-1976955.html?cur_warehouse=CN&ID=62927626307646&rmmds=CategoryToysPop&trace_id=9b521763848493734,US$127.99,US$179.99,89,4.91,https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/4C/23/426c2027-1b9e-4a5b-8298-0862462e6d45.jpg.webp,127.99,179.99,4.91,89,Expensive ($100+),True,28.89,Medium Discount (21-40%)
"Toys, Hobbies and Robots",RC Drones,1977134.0,CoolBank Model Piper J3 CUB 1/16 Scale 680mm Wingspan 3D/6G Switchable EPP RC Airplane Warbird RTF Mode 2,https://www.banggood.com/CoolBank-Model-Piper-J3-CUB-1-or-16-Scale-680mm-Wingspan-3D-or-6G-Switchable-EPP-RC-Airplane-Warbird-RTF-Mode-2-p-1977134.html?cur_warehouse=CN&rmmds=CategoryToysPop&trace_id=9b521763848493734,US$137.99,US$199.99,40,4.75,https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/C9/9F/a15d40df-8009-4997-976c-ca646da958cb.png.webp,137.99,199.99,4.75,40,Expensive ($100+),True,31.0,Medium Discount (21-40%)
"Toys, Hobbies and Robots",RC Drones,1978021.0,Mini Gesture Sensing Levitation Flying Led Light Crystal Ball RC Helicopter Kids Toys,https://www.banggood.com/Mini-Gesture-Sensing-Levitation-Flying-Led-Light-Crystal-Ball-RC-Helicopter-Kids-Toys-p-1978021.html?cur_warehouse=CN&ID=6321682&rmmds=CategoryToysPop&trace_id=9b521763848493734,US$14.99,US$18.99,5,5.0,https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/FA/99/4f15bd2e-1446-489e-b558-85c0a986383b.jpg.webp,14.99,18.99,5.0,5,Economy ($10-25),True,21.06,Medium Discount (21-40%)
"Toys, Hobbies and Robots",RC Drones,1978025.0,Gesture Sensing Smart Levitation Led Light Altitude Hold Transparent RC Helicopter Kids Toys,https://www.banggood.com/Gesture-Sensing-Smart-Levitation-Led-Light-Altitude-Hold-Transparent-RC-Helicopter-Kids-Toys-p-1978025.html?cur_warehouse=CN&ID=6321685&rmmds=CategoryToysPop&trace_id=9b521763848493734,US$6.99,US$10.99,6,5.0,https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/99/C7/435f44f4-282d-40d9-8154-f5be91f49fce.jpg.webp,6.99,10.99,5.0,6,Budget (<$10),True,36.4,Medium Discount (21-40%)
"Toys, Hobbies and Robots",RC Drones,2030598.0,Tony Ray Bucker Bu133 Jungmeister 1/10 660mm Wingspan Balsa Wood RC Sports Biplane RC Airplane KIT,https://www.banggood.com/Tony-Ray-Bucker-Bu133-Jungmeister-1-or-10-660mm-Wingspan-Balsa-Wood-RC-Sports-Biplane-RC-Airplane-KIT-p-2030598.html?cur_warehouse=CN&ID=6311057&rmmds=CategoryToysPop&trace_id=9b521763848493734,US$83.99,US$199.99,5,5.0,https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/2A/0E/2134fdce-68eb-444f-8f6b-c39d61efdd34.png.webp,83.99,199.99,5.0,5,Premium ($50-100),True,58.0,Large Discount (41-60%)
"Toys, Hobbies and Robots",RC Drones,1991034.0,GooSky RS4 6CH 3D Direct Drive Brushless Motor 400 Class Flybarless RC Helicopter for Venom Kit Version,https://www.banggood.com/GooSky-RS4-6CH-3D-Direct-Drive-Brushless-Motor-400-Class-Flybarless-RC-Helicopter-for-Venom-Kit-Version-p-1991034.html?cur_warehouse=CN&ID=62878446332077&rmmds=CategoryToysPop&trace_id=9b521763848493734,US$394.00,US$419.00,9,5.0,https://imgaz1.staticbg.com/thumb/gallery/oaupload/banggood/images/08/9B/c3295043-2da0-40c7-af5a-a7be7386b0f2.jpg.webp,394.0,419.0,5.0,9,Expensive ($100+),True,5.97,Small Discount (1-20%)
"Toys, Hobbies and Robots",RC Drones,1991196.0,Dancing Wings Hobby E33 S.E.5A 800mm Wingspan PP Foam RC Airplane Fixed Wing Biplane Warbird KIT/ KIT+Power Combo,https://www.banggood.com/Dancing-Wings-Hobby-E33-S_E_5A-800mm-Wingspan-PP-Foam-RC-Airplane-Fixed-Wing-Biplane-Warbird-KIT-or-KIT+Power-Combo-p-1991196.html?cur_warehouse=CN&ID=6311057&rmmds=CategoryToysPop&trace_id=9b521763848493734,US$61.99,US$99.99,22,4.73,https://imgaz1.staticbg.com/thumb/gallery/oaupload/banggood/images/6A/63/91010d0c-f39b-4ae6-8f6b-0f795ef2dbcb.jpg.webp,61.99,99.99,4.73,22,Premium ($50-100),True,38.0,Medium Discount (21-40%)
Sports and Outdoor,Cycling,1893555.0,Bikight W678 Smart Sensor Headlight XPG+COB 6 Modes Type-C Charging 2000mAh Battery Flashlight Head Torch,https://www.banggood.com/Bikight-W678-Smart-Sensor-Headlight-XPG+COB-6-Modes-Type-C-Charging-2000mAh-Battery-Flashlight-Head-Torch-p-1893555.html?cur_warehouse=CN&ID=6313679&rmmds=CategorySportsPop&trace_id=9b521763848504366,US$5.39,US$19.99,180,4.83,https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/B1/51/c4a9b7b7-1be9-499d-a288-dddce26d6e23.jpg.webp,5.39,19.99,4.83,180,Budget (<$10),True,73.04,Huge Discount (61%+)
Sports and Outdoor,Cycling,1993805.0,[Type-C Version]MAGICSHINE RN120 V2.0 Bike Taillight 260° Visibility IPX6 Waterproof 2000m Distance Bicycle Rear Light for Night Cycling,https://www.banggood.com/Type-C-VersionMAGICSHINE-RN120-V2_0-Bike-Taillight-260-Visibility-IPX6-Waterproof-2000m-Distance-Bicycle-Rear-Light-for-Night-Cycling-p-1993805.html?cur_warehouse=CN&rmmds=CategorySportsPop&trace_id=9b521763848504366,US$15.99,US$49.99,50,4.94,https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/29/D3/804d92ac-ce37-49f6-bde6-89ad906461cf.jpg.webp,15.99,49.99,4.94,50,Economy ($10-25),True,68.01,Huge Discount (61%+)
Sports and Outdoor,Cycling,2009241.0,Astrolux® BL04 Digital Bike Headlight 1600LM Dual Distance Beam 6000mAh Portable Power Bank Type-C Charging Memory Mode Waterproof Bicycle Front Light for Electric Bike MTB Bike Flashlight,https://www.banggood.com/Astrolux-BL04-Digital-Bike-Headlight-1600LM-Dual-Distance-Beam-6000mAh-Portable-Power-Bank-Type-C-Charging-Memory-Mode-Waterproof-Bicycle-Front-Light-for-Electric-Bike-MTB-Bike-Flashlight-p-2009241.html?cur_warehouse=CN&rmmds=CategorySportsPop&trace_id=9b521763848504366,US$19.99,US$59.99,39,4.95,https://imgaz1.staticbg.com/thumb/gallery/oaupload/banggood/images/51/64/9459852c-dcbc-40bc-85f9-be07f7d82bae.jpg.webp,19.99,59.99,4.95,39,Economy ($10-25),True,66.68,Huge Discount (61%+)
Sports and Outdoor,Cycling,2016448.0,LAOTIE Q7 Mini Electric Bike Air Pump 150PSI 4000mAh Type-C Rechargeable LED Digital Gauge High Pressure Display Portable Cycle Car Motorbike Football Inflator With Hose Tube Adapter,https://www.banggood.com/LAOTIE-Q7-Mini-Electric-Bike-Air-Pump-150PSI-4000mAh-Type-C-Rechargeable-LED-Digital-Gauge-High-Pressure-Display-Portable-Cycle-Car-Motorbike-Football-Inflator-With-Hose-Tube-Adapter-p-2016448.html?cur_warehouse=CN&ID=6333823&rmmds=CategorySportsPop&trace_id=9b521763848504366,US$15.99,US$49.99,82,4.9,https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/24/17/40300413-6c4e-4316-911b-d3588c47d180.jpg.webp,15.99,49.99,4.9,82,Economy ($10-25),True,68.01,Huge Discount (61%+)
Sports and Outdoor,Cycling,1998221.0,Astrolux® SL06 2000Lm Brightness & Vibration Smart Brake-activated Bike Headlights 6 LED 4800mAh Battery IPX6 Waterproof 6 Light Modes Type-C USB Rechargeable Aluminum Alloy Front Light for Electric Bike Scooter MTB Bicycle,https://www.banggood.com/Astrolux-SL06-2000Lm-Brightness-and-Vibration-Smart-Brake-activated-Bike-Headlights-6-LED-4800mAh-Battery-IPX6-Waterproof-6-Light-Modes-Type-C-USB-Rechargeable-Aluminum-Alloy-Front-Light-for-Electric-Bike-Scooter-MTB-Bicycle-p-1998221.html?cur_warehouse=CN&ID=6325004&rmmds=CategorySportsPop&trace_id=9b521763848504366,US$21.99,US$39.99,55,4.98,https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/7D/BF/9c647cd7-f323-4d30-ab81-51b9033dc33e.jpg.webp,21.99,39.99,4.98,55,Economy ($10-25),True,45.01,Large Discount (41-60%)
Sports and Outdoor,Cycling,2021322.0,XIAOMI Mijia 2 Pro 150PSI Smart Air Pump 2500mAh LED Digital Pressure Display Dual Light Mode Type-C Rechargeable Bicycle Inflator for SU7 Car Bike Motorbike Football,https://www.banggood.com/XIAOMI-Mijia-2-Pro-150PSI-Smart-Air-Pump-2500mAh-LED-Digital-Pressure-Display-Dual-Light-Mode-Type-C-Rechargeable-Bicycle-Inflator-for-SU7-Car-Bike-Motorbike-Football-p-2021322.html?cur_warehouse=CN&ID=6329133&rmmds=CategorySportsPop&trace_id=9b521763848504366,US$61.99,US$129.99,4,5.0,https://imgaz1.staticbg.com/thumb/gallery/oaupload/banggood/images/AF/03/77b3dd42-06ec-431b-bd95-676aa4312728.jpg.webp,61.99,129.99,5.0,4,Premium ($50-100),True,52.31,Large Discount (41-60%)
